20260904 142700;29585.5;29588.25;29564;29578.5;9213
20260904 142800;29578.5;29586;29576;29577;4471
20260904 142900;29577;29592;29567;29589.5;6008
20260904 143000;29589.25;29598.75;29585.25;29595.75;5215
20260904 143100;29596;29598.25;29567.75;29567.75;7148
20260904 143200;29568.25;29571.5;29554.75;29564.25;7772
20260904 143300;29564.25;29579;29562;29576.5;5352
20260904 143400;29576;29584.75;29563;29567.5;4656
20260904 143500;29568;29569.75;29554.75;29559;3295
20260904 143600;29559.25;29574.25;29558;29571.5;4192
20260904 143700;29571.5;29587.25;29567;29582.75;5034
20260904 143800;29582.5;29590;29566.75;29582.5;5797
20260904 143900;29583.5;29589.25;29575.25;29578.5;3587
20260904 144000;29578.5;29588;29571.75;29588;3483
20260904 144100;29587.75;29587.75;29568.25;29570.75;4286
20260904 144200;29571;29577.25;29562;29572.75;3987
20260904 144300;29572.75;29574.5;29541.75;29545.5;9677
20260904 144400;29545.25;29547.5;29531.25;29533.75;7435
20260904 144500;29533.75;29541.25;29530;29533.5;4649
20260904 144600;29533;29544.25;29527.75;29532.25;5653
20260904 144700;29532.75;29540.75;29529.75;29540.5;3793
20260904 144800;29539.75;29540.25;29525.25;29533.75;4676
20260904 144900;29533.5;29539.75;29519;29525.5;5631
20260904 145000;29524.75;29527.75;29510;29511;5626
20260904 145100;29510.5;29526.5;29509.5;29523.5;5942
20260904 145200;29523.75;29535.5;29522;29524.5;4994
20260904 145300;29524.25;29528.25;29514.75;29525.5;4481
20260904 145400;29525.5;29532;29519;29520.5;3247
20260904 145500;29520.75;29525;29509;29516.75;3609
20260904 145600;29516.25;29526.5;29510;29521.25;4145
20260904 145700;29520.75;29524;29498.5;29500.5;7127
20260904 145800;29500.5;29521.75;29499.25;29520.25;5529
20260904 145900;29520.5;29530.25;29518.25;29529.25;4242
20260904 150000;29528.75;29530;29511.25;29520.75;4204
20260904 150100;29520.5;29529.25;29514.75;29524.25;4339
20260904 150200;29524.25;29529.5;29518;29521.25;2548
20260904 150300;29521;29523;29491;29510.75;8339
20260904 150400;29510.75;29512.25;29501.5;29504.25;3597
20260904 150500;29503.75;29518;29497;29516.25;4697
20260904 150600;29515.5;29517;29503.25;29511.25;3321
20260904 150700;29511.5;29517.5;29507.75;29513;3038
20260904 150800;29513;29524.75;29511;29524.25;4964
20260904 150900;29524.25;29531.75;29520.25;29526;4360
20260904 151000;29526;29527.5;29515.75;29526;3644
20260904 151100;29525.5;29526.5;29510.5;29520;3607
20260904 151200;29519.75;29531;29517.75;29524.75;4067
20260904 151300;29524.5;29539.75;29522;29539.25;4571
20260904 151400;29539.5;29540;29530.25;29534.5;3686
20260904 151500;29534.5;29541;29528.5;29540.25;3598
20260904 151600;29541;29543.5;29533;29535.75;3693
20260904 151700;29536;29542;29529.25;29529.25;2863
20260904 151800;29529;29531.5;29515.25;29519.25;6219
20260904 151900;29519.5;29520;29493.75;29500.5;8144
20260904 152000;29500.5;29505.5;29497.5;29501.25;4203
20260904 152100;29501;29506;29487;29495.5;6417
20260904 152200;29495.5;29501;29483.25;29489.5;5091
20260904 152300;29489.75;29506.5;29489.75;29504.25;4421
20260904 152400;29504.25;29510;29500.25;29501.5;3263
20260904 152500;29501;29510.5;29499.5;29502.75;3119
20260904 152600;29502.75;29512.5;29495.25;29505.25;4073
20260904 152700;29505.25;29506.75;29498.75;29500.5;2392
20260904 152800;29500.5;29506;29495.5;29503.75;3110
20260904 152900;29504.5;29509;29498;29506.75;1994
20260904 153000;29507;29509.5;29497.5;29507.25;2730
20260904 153100;29507;29510.75;29479.75;29485;6866
20260904 153200;29485;29494;29477.75;29487.75;5313
20260904 153300;29487.25;29492.25;29482.75;29487.75;2614
20260904 153400;29487.75;29499.25;29483.25;29498.25;3586
20260904 153500;29498.25;29502.5;29486.25;29491.75;3765
20260904 153600;29491.25;29507.25;29490.25;29499;3935
20260904 153700;29499;29503;29493;29495.25;2812
20260904 153800;29495.5;29499;29492;29493.75;1847
20260904 153900;29493.75;29504;29493.5;29501.5;1734
20260904 154000;29501.25;29503;29497;29501.5;1479
20260904 154100;29501.75;29505.5;29497.75;29501.25;1633
20260904 154200;29501.5;29512.25;29498;29511.75;3377
20260904 154300;29511.25;29524.25;29511;29521.5;5213
20260904 154400;29521;29524.5;29517.5;29520.75;2757
20260904 154500;29521;29523.25;29516.75;29520.5;1735
20260904 154600;29519.75;29520;29510.25;29520;3222
20260904 154700;29519.25;29522.5;29507;29507.75;3445
20260904 154800;29507;29509;29491.25;29494.75;5746
20260904 154900;29494.75;29497.75;29487;29496.25;3373
20260904 155000;29496.25;29503.25;29493;29501.75;2654
20260904 155100;29501.5;29516.25;29497.75;29499.25;5192
20260904 155200;29500.25;29506.25;29496.75;29502;2526
20260904 155300;29501.5;29508;29496.75;29501.75;1941
20260904 155400;29502;29507;29494.75;29502.25;2131
20260904 155500;29502.25;29507.25;29498.75;29504;1534
20260904 155600;29504;29513;29503.5;29508.75;2005
20260904 155700;29509;29511.75;29505.5;29506.5;1421
20260904 155800;29506;29514.75;29497.25;29512.5;2981
20260904 155900;29512.25;29514.75;29506.25;29509.75;1360
20260904 160000;29509.75;29519;29509.75;29515.25;2452
