20260911 220000;29426.25;29475;29415.25;29472;25682
20260911 220500;29472.75;29473;29386.5;29392.5;44322
20260911 221000;29392.75;29408.5;29365.5;29393.25;40161
20260911 221500;29393.5;29424.25;29378.25;29397.25;45585
20260911 222000;29397.5;29441.25;29373.75;29438.5;33404
20260911 222500;29438.5;29461.75;29432.75;29444.25;26771
20260911 223000;29444;29467;29439;29451;18965
20260911 223500;29451.75;29455.75;29406.25;29412.75;31631
20260911 224000;29412.75;29413;29369.25;29384.5;29817
20260911 224500;29384.75;29410.5;29353.25;29372.5;30435
20260911 225000;29372.5;29400;29334;29399.25;44939
20260911 225500;29398.75;29401.5;29366.75;29370.25;20968
20260911 230000;29369.75;29377.5;29349;29370.5;19446
20260911 230500;29370.25;29404;29360;29403.25;19597
20260911 231000;29403.25;29433;29400.75;29421.25;22489
20260911 231500;29420.75;29425.5;29375.25;29394;21034
20260911 232000;29394;29445;29393.5;29438.75;20969
20260911 232500;29439;29463.5;29435.25;29460.75;15070
20260911 233000;29461.25;29493;29456.75;29485;22449
20260911 233500;29485;29499.5;29477;29485.25;16818
20260911 234000;29485.5;29487.75;29462.75;29475.5;17084
20260911 234500;29475.75;29484.25;29466.75;29478.25;9800
20260911 235000;29477.75;29479;29461;29470;12299
20260911 235500;29470.5;29476.5;29442;29448.5;12306
20260912 000000;29448.75;29461.5;29441;29449.75;11380
20260912 000500;29450.25;29482.25;29450.25;29481.5;14212
20260912 001000;29482;29485;29460.25;29469.75;9992
20260912 001500;29469.5;29473;29445.25;29447.75;9251
20260912 002000;29447.75;29452;29434.5;29438.5;11367
20260912 002500;29438.25;29442.75;29421.75;29426.25;10825
20260912 003000;29426;29436.25;29398;29402.75;21814
20260912 003500;29402.75;29441.75;29395;29427.25;21960
20260912 004000;29427.5;29428.75;29396.25;29398.25;12009
20260912 004500;29398.25;29434;29392;29431.5;14581
20260912 005000;29431.5;29435.75;29413;29415.5;8435
20260912 005500;29415.5;29429.25;29413.75;29429;6007
20260912 010000;29429.25;29437.75;29426;29436.25;7906
20260912 010500;29437;29449.5;29435.75;29441;9323
20260912 011000;29440.5;29465;29440.25;29452.75;11796
20260912 011500;29452.75;29459.25;29435.75;29437.5;9578
20260912 012000;29438;29462.5;29438;29457;8328
20260912 012500;29456.75;29475.25;29456.5;29474.25;8420
